,,Star_name,Distance,Mass,Radius
0.0,Sun,0.000015813,1,1,1
1.0,Sirius,0008.6,2.1,1.71´,25.4
2.0,Canopus,0310,15,71,"13,500"
3.0,Alpha Centauri,0004.4,1.1,1.2,2
4.0,Arcturus,0037,1.1,26,170
5.0,Vega,0025,2.2,2.7,50
6.0,Capella,0043,2.6,12,150
7.0,Rigel,0860,23,78.9,"120,000"
8.0,Procyon,0011.4,1.5,1.9,7.7
9.0,Betelgeuse,0640[1],20,950,"60,000"
10.0,Achernar,0144,6.7,9.3,"3,000"
11.0,Hadar,0390,10.5,8.6,"42,000"
12.0,Altair,0017,1.8,1.8,10.5
13.0,Acrux,0320,18,8.9,"25,000"
14.0,Aldebaran,0065,1.5,44,520
15.0,Antares,0600,12,680,"75,000"
16.0,Spica,0260,11.43,7.47,"20,512"
17.0,Pollux,0034,1.9,8.8,43
18.0,Fomalhaut,0025,1.9,1.8,16.6
19.0,Deneb,"2,600",19,203,"200,000"
20.0,Mimosa,0350,16,8.4,"34,000"
21.0,Regulus,0077,3.8,3.1,290
22.0,Adhara,0430,12.5,14,"39,000"
23.0,Shaula,0700,14.5,8.8,"36,000"
24.0,Castor,0052,2.8,2.4,30
25.0,Gacrux,0088,1.5,84,820
26.0,Bellatrix,0240,8.6,5.8,"9,200"
27.0,Elnath,0130,5.0,4.2,700
28.0,Miaplacidus,0110,3.5,6.8,290
29.0,Alnilam,"2,000",32,42,"380,000"
30.0,Gamma Velorum,"01,100",9.0,6,"170,000"
31.0,Alnair,0101,4.0,3.4,260
32.0,Alioth,0081,2.9,4.2,110
33.0,Alnitak,01050,33,20,"120,000"
34.0,Dubhe,0120,4.25,30,300
35.0,Mirfak,0590,8.5,68,"5,000"
36.0,Wezen,"1,600",17,200,"82,000"
37.0,Sargas,0270,5.7,26,"1,800"
38.0,Kaus Australis,0140,3.5,6.8,360
39.0,Avior,0630,9.0,130,"60,000"
40.0,Alkaid,0104,6.1,3.4,"1,350"
41.0,Menkalinan,081,2.39,2.77,50
42.0,Atria,0390,7,92,"5,500"
43.0,Alhena,0109,2.8,3.3,120
44.0,Peacock,0180,5.9,4.8,"2,200"
45.0,Alsephina[2],0080,2.4,2.9,90
46.0,Mirzam,0500,13.5,10,"27,000"
47.0,Polaris,0430,5.4,39,"2,500"
48.0,Alphard,0180,3.0,50,780
49.0,Scheat,0196,2.1,95,"1,500"
50.0,Almaaz,0653,15,140,"43,000"
51.0,Rasalgethi,0360,2.8,280,"8,300"
52.0,Tau Ceti,011.9,0.783,0.893,0.52
53.0,Delta Pavonis,019.92,0.991,1.22,1.22
54.0,Ran,010.48,0.82,0.74,0.34
55.0,V382 Carinae,"08,900",20,485,"212,000"
56.0,Eta Carinae,"07,500",100,60–881,"5,000,000"
57.0,Delta Cephei,0887,4.5,44.5,"2,000"
58.0,Mu Cephei,"06,000",19.2,972,"135,000"
59.0,Titawin,044.25,1.27,1.48,3.57
60.0,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
61.0,P Cygni,"05,545",30,76,"610,000"
62.0,La Superba,"01,000",,129 - 342,"2,472 - 5,800"
63.0,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
64.0,61 Cygni,011.41,0.7,0.665,0.153
65.0,R Doradus,0178,0.7 - 1.0,298,"4,350"
66.0,Polaris Australis,0281,1.59,3.74,38
67.0,R Coronae Borealis,"04,566",0.85,85,"10,000"
68.0,54 Piscium,036.1,0.76,0.94,0.52
69.0,Mira,0300,1.2,370,"9,000"
70.0,RW Cephei,"014,000",13.9,"1,158","417,000"
71.0,Lacaille 8760,012.87,0.6,0.51,0.072
72.0,V838 Monocerotis,"019,896",?,380 - 750,"15,000"
73.0,HD 140283,0190,?,1.4,3.83
74.0,II Pegasi,0130,0.8,3.4,1.06
75.0,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
76.0,Pistol Star,"025,000",100,320,"1,700,000"
77.0,S Doradus,"0169,000",24,380,"910,000"
78.0,UY Scuti,"05,100",7–10,755,"86,300 - 87,100"
79.0,Barnard's Star,05.98,0.14,0.20,0.0035
80.0,Luhman 16,06.52,0.04,?,?
81.0,Proxima Centauri,04.25,0.12,0.15,0.0017
82.0,KIC 8462852,"01,470",1.43,1.58,4.68
83.0,R136a1,"0163,000",290,32,"8,710,000"
84.0,Melnick 42,"0163,000",189,21.1,"3,600,000"
85.0,WR 102,"018,134",19,0.39,"282,000"
86.0,VFTS 352,"0164,000",57.48,14.47,"330,000"
87.0,YBP 1194,"02,772",1.01,0.99,0.98
88.0,Gliese 1214,047.5,0.16,0.21,0.0033
89.0,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
90.0,VB 10,018.72,0.075,0.10,0.0004
91.0,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
92.0,TRAPPIST-1,039.6,0.089,0.12,0.0005
93.0,2MASS J0523-1403,040.3,0.07,0.086,0.00013
94.0,WISE 0855−0714,07.27,0.003,?,?
95.0,Icarus,"014,400,000,000",33,?,"850,000"
,Star_name,Distance,Mass,Radius,Luminosity
0.0,Sun,0.000015813,1,1,1
1.0,Sirius,0008.6,2.1,1.71´,25.4
2.0,Canopus,0310,15,71,"13,500"
3.0,Alpha Centauri,0004.4,1.1,1.2,2
4.0,Arcturus,0037,1.1,26,170
5.0,Vega,0025,2.2,2.7,50
6.0,Capella,0043,2.6,12,150
7.0,Rigel,0860,23,78.9,"120,000"
8.0,Procyon,0011.4,1.5,1.9,7.7
9.0,Betelgeuse,0640[1],20,950,"60,000"
10.0,Achernar,0144,6.7,9.3,"3,000"
11.0,Hadar,0390,10.5,8.6,"42,000"
12.0,Altair,0017,1.8,1.8,10.5
13.0,Acrux,0320,18,8.9,"25,000"
14.0,Aldebaran,0065,1.5,44,520
15.0,Antares,0600,12,680,"75,000"
16.0,Spica,0260,11.43,7.47,"20,512"
17.0,Pollux,0034,1.9,8.8,43
18.0,Fomalhaut,0025,1.9,1.8,16.6
19.0,Deneb,"2,600",19,203,"200,000"
20.0,Mimosa,0350,16,8.4,"34,000"
21.0,Regulus,0077,3.8,3.1,290
22.0,Adhara,0430,12.5,14,"39,000"
23.0,Shaula,0700,14.5,8.8,"36,000"
24.0,Castor,0052,2.8,2.4,30
25.0,Gacrux,0088,1.5,84,820
26.0,Bellatrix,0240,8.6,5.8,"9,200"
27.0,Elnath,0130,5.0,4.2,700
28.0,Miaplacidus,0110,3.5,6.8,290
29.0,Alnilam,"2,000",32,42,"380,000"
30.0,Gamma Velorum,"01,100",9.0,6,"170,000"
31.0,Alnair,0101,4.0,3.4,260
32.0,Alioth,0081,2.9,4.2,110
33.0,Alnitak,01050,33,20,"120,000"
34.0,Dubhe,0120,4.25,30,300
35.0,Mirfak,0590,8.5,68,"5,000"
36.0,Wezen,"1,600",17,200,"82,000"
37.0,Sargas,0270,5.7,26,"1,800"
38.0,Kaus Australis,0140,3.5,6.8,360
39.0,Avior,0630,9.0,130,"60,000"
40.0,Alkaid,0104,6.1,3.4,"1,350"
41.0,Menkalinan,081,2.39,2.77,50
42.0,Atria,0390,7,92,"5,500"
43.0,Alhena,0109,2.8,3.3,120
